year,Km_travelled,fuel_type,city,assembly,engine,body_type,interior_scores,exterior_scores,comfort_scores,company,price
2019,60000,5.0,1.0,1.0,1800,8.0,0.0,0.0,2.0,39.0,0.61
2005,157000,5.0,0.0,0.0,1300,8.0,2.0,2.0,1.0,29.0,0.18
2019,50000,5.0,1.0,0.0,660,8.0,1.0,1.0,1.0,39.0,0.29
2019,75000,2.0,2.0,0.0,1500,8.0,0.0,0.0,0.0,15.0,0.78
2021,40000,5.0,1.0,0.0,660,3.0,2.0,2.0,2.0,15.0,0.36
2022,24000,5.0,2.0,0.0,1500,2.0,0.0,0.0,0.0,26.0,0.62
2021,68000,5.0,0.0,1.0,1800,8.0,2.0,0.0,2.0,15.0,0.63
2005,63300,5.0,3.0,0.0,2600,8.0,1.0,1.0,2.0,28.0,0.42
2015,81000,5.0,1.0,1.0,1800,8.0,2.0,2.0,2.0,39.0,0.45
2022,23000,5.0,2.0,1.0,1300,8.0,2.0,2.0,1.0,34.0,0.26
2022,8000,5.0,1.0,1.0,1500,8.0,2.0,0.0,2.0,3.0,0.4
2022,23000,5.0,0.0,0.0,3500,0.0,0.0,0.0,0.0,23.0,0.83
2018,72000,5.0,2.0,1.0,1800,8.0,2.0,2.0,2.0,39.0,0.5
2011,197000,5.0,1.0,1.0,1300,8.0,2.0,1.0,1.0,15.0,0.25
2023,11970,5.0,3.0,0.0,660,3.0,2.0,1.0,1.0,29.0,0.44
2017,87501,2.0,0.0,0.0,1500,2.0,1.0,1.0,2.0,15.0,0.56
2008,206399,1.0,0.0,1.0,2000,8.0,2.0,1.0,1.0,39.0,0.34
2021,89000,5.0,1.0,1.0,1600,8.0,2.0,1.0,1.0,39.0,0.53
2020,60000,5.0,1.0,0.0,2700,7.0,1.0,2.0,0.0,39.0,2.75
2022,25500,5.0,2.0,1.0,1500,7.0,2.0,0.0,0.0,34.0,0.65
2007,159000,5.0,2.0,0.0,1500,8.0,2.0,2.0,2.0,39.0,0.32
2012,202000,5.0,1.0,1.0,1300,8.0,2.0,1.0,1.0,39.0,0.03
2006,105000,5.0,2.0,1.0,2400,8.0,2.0,1.0,2.0,39.0,0.45
2002,187000,5.0,2.0,1.0,1600,8.0,1.0,1.0,1.0,15.0,0.15
2021,58000,5.0,1.0,0.0,1500,2.0,0.0,0.0,0.0,26.0,0.64
2017,165000,5.0,1.0,1.0,1300,8.0,2.0,2.0,1.0,39.0,0.41
2003,200000,1.0,2.0,0.0,3000,7.0,1.0,1.0,1.0,39.0,0.36
2015,53000,5.0,1.0,1.0,800,6.0,1.0,2.0,2.0,37.0,0.12
2008,140000,5.0,1.0,1.0,1800,8.0,2.0,2.0,1.0,15.0,0.25
2006,149087,5.0,2.0,0.0,1500,8.0,2.0,1.0,1.0,39.0,0.24
1997,200000,1.0,1.0,0.0,3000,7.0,2.0,1.0,1.0,39.0,0.4
2017,80234,2.0,1.0,0.0,1500,3.0,2.0,1.0,2.0,39.0,0.43
2020,26900,5.0,1.0,0.0,1000,2.0,0.0,2.0,0.0,8.0,0.55
2021,35000,5.0,1.0,1.0,1500,8.0,0.0,0.0,0.0,28.0,2.95
2003,150000,5.0,0.0,1.0,1600,8.0,2.0,1.0,1.0,39.0,0.23
2015,86000,5.0,0.0,1.0,1300,8.0,1.0,1.0,1.0,15.0,0.32
2022,125000,5.0,1.0,1.0,1800,8.0,2.0,0.0,2.0,15.0,0.8
2017,98000,2.0,2.0,0.0,1500,2.0,0.0,1.0,0.0,15.0,0.58
2014,87000,5.0,2.0,1.0,1300,8.0,1.0,2.0,1.0,39.0,0.33
2022,32000,5.0,2.0,1.0,2000,2.0,1.0,2.0,2.0,23.0,0.72
2016,112000,5.0,2.0,1.0,1600,8.0,2.0,1.0,1.0,39.0,0.37
2019,95000,2.0,2.0,0.0,1800,2.0,2.0,2.0,0.0,39.0,0.84
1990,182000,1.0,2.0,0.0,2500,7.0,2.0,2.0,1.0,29.0,0.33
2007,131000,5.0,1.0,0.0,4000,7.0,2.0,0.0,2.0,39.0,1.1
2023,46000,2.0,0.0,0.0,1500,7.0,0.0,0.0,2.0,14.0,1.03
2016,79000,5.0,2.0,1.0,1800,8.0,2.0,2.0,2.0,15.0,0.43
2019,53000,5.0,2.0,1.0,1300,8.0,1.0,2.0,1.0,39.0,0.41
2023,31000,5.0,0.0,1.0,2000,2.0,0.0,0.0,0.0,17.0,0.81
2017,61000,5.0,2.0,1.0,1800,8.0,2.0,2.0,2.0,39.0,0.47
2020,52000,5.0,2.0,0.0,1000,2.0,2.0,2.0,0.0,39.0,0.63
2020,79000,5.0,1.0,1.0,1300,8.0,0.0,2.0,1.0,39.0,0.43
2018,180000,1.0,0.0,1.0,2800,7.0,0.0,2.0,0.0,39.0,1.3
2018,53000,5.0,0.0,1.0,1500,4.0,1.0,1.0,1.0,15.0,0.43
1991,150000,5.0,2.0,1.0,1000,8.0,2.0,2.0,2.0,30.0,0.04
2016,120,5.0,0.0,1.0,1500,8.0,2.0,0.0,2.0,15.0,0.56
2013,138000,5.0,1.0,0.0,660,8.0,1.0,2.0,1.0,8.0,0.21
2012,165000,2.0,0.0,0.0,1500,3.0,2.0,1.0,2.0,39.0,0.36
2013,156000,5.0,1.0,0.0,660,5.0,1.0,2.0,1.0,37.0,0.2
2020,36000,5.0,0.0,0.0,660,7.0,1.0,1.0,1.0,37.0,0.5
2015,103000,5.0,1.0,1.0,1500,8.0,2.0,1.0,1.0,15.0,0.33
2010,255000,5.0,1.0,1.0,1300,8.0,1.0,2.0,1.0,39.0,0.23
2026,4823,5.0,1.0,1.0,1600,8.0,0.0,0.0,2.0,39.0,0.25
2021,80353,5.0,0.0,1.0,1800,8.0,2.0,0.0,2.0,15.0,0.65
1995,160000,5.0,0.0,0.0,1500,8.0,2.0,1.0,1.0,39.0,0.21
2016,2,5.0,1.0,1.0,1300,8.0,1.0,2.0,1.0,39.0,0.33
2022,53000,5.0,1.0,1.0,1600,8.0,2.0,1.0,1.0,39.0,0.6
2022,17000,5.0,2.0,1.0,1598,8.0,2.0,2.0,1.0,39.0,0.59
2022,27000,5.0,2.0,1.0,1299,8.0,2.0,2.0,1.0,34.0,0.25
2025,14000,2.0,1.0,0.0,1500,7.0,0.0,0.0,0.0,14.0,1.19
2025,21000,5.0,2.0,1.0,1800,8.0,2.0,0.0,2.0,39.0,0.73
2021,67000,5.0,1.0,0.0,660,3.0,1.0,1.0,2.0,15.0,0.35
2013,270000,5.0,0.0,0.0,1600,8.0,2.0,2.0,0.0,2.0,0.85
2010,92500,5.0,1.0,1.0,1800,8.0,2.0,2.0,2.0,39.0,0.42
2019,40000,5.0,1.0,1.0,1800,8.0,2.0,2.0,2.0,39.0,0.61
2024,36000,2.0,0.0,1.0,1500,7.0,0.0,0.0,2.0,14.0,1.03
2019,96000,5.0,1.0,1.0,2000,2.0,0.0,0.0,0.0,23.0,0.66
2018,185000,2.0,0.0,0.0,1500,2.0,0.0,2.0,0.0,15.0,0.6
2013,129000,5.0,1.0,1.0,1300,8.0,2.0,1.0,1.0,39.0,0.36
2014,135000,2.0,0.0,0.0,1500,2.0,0.0,2.0,0.0,15.0,0.49
2015,120000,5.0,2.0,1.0,1800,8.0,2.0,2.0,2.0,39.0,0.45
1995,250000,5.0,0.0,1.0,1500,8.0,1.0,1.0,1.0,15.0,0.14
2009,200000,5.0,2.0,1.0,1300,8.0,1.0,2.0,1.0,39.0,0.27
2016,116820,5.0,1.0,1.0,1300,8.0,2.0,2.0,1.0,39.0,0.36
2014,236267,5.0,1.0,1.0,1300,8.0,1.0,2.0,1.0,39.0,0.32
2014,221500,5.0,1.0,1.0,1300,8.0,2.0,2.0,1.0,39.0,0.34
2005,250000,5.0,1.0,1.0,1300,8.0,1.0,1.0,1.0,29.0,0.15
2021,91000,5.0,0.0,1.0,1800,8.0,2.0,0.0,2.0,15.0,0.56
