year,price,Km_travelled,fuel_type,transmission,city,color,assembly,engine,body_type,interior_scores,exterior_scores,safety_scores,comfort_scores,company
2017,0.41,148000,Petrol,Automatic,Islamabad,Silver,Local,1300,Sedan,14,0,17,13,Toyota
2025,1.1,9000,Hybrid,Automatic,Islamabad,Blue,Local,1600,Crossover,34,23,62,50,KIA
2010,0.24,207000,Petrol,Automatic,Punjab,other,Local,1800,Sedan,14,24,27,13,Honda
2010,0.25,156000,Petrol,Manual,Punjab,Silver,Local,1300,Sedan,20,9,37,14,Toyota
2021,0.67,68000,Petrol,Automatic,Islamabad,Black,Local,2000,Crossover,28,23,38,42,KIA
2003,0.07,3000,CNG,Manual,other,White,Local,800,Mini Van,7,0,0,0,Suzuki
2003,0.18,127000,Petrol,Manual,Islamabad,White,Local,1300,Sedan,10,0,3,8,Honda
2021,1.05,62788,Hybrid,Automatic,Un-Registered,White,Imported,1500,Crossover,28,13,54,50,Honda
2006,0.42,327147,Petrol,Automatic,Islamabad,White,Imported,3000,SUV,3,6,34,26,Mitsubishi
2022,0.57,22000,Petrol,Automatic,Islamabad,White,Local,1600,Sedan,18,21,33,18,Hyundai
2022,0.7,62000,Petrol,Automatic,Islamabad,White,Local,2000,Crossover,28,23,38,35,KIA
2008,1.07,89000,Petrol,Automatic,Islamabad,Black,Imported,3500,Sedan,24,30,50,50,Mercedes-Benz
2021,0.64,64000,Petrol,Automatic,Punjab,White,Imported,1500,Crossover,7,14,27,19,MG
2024,0.83,30000,Hybrid,Automatic,Sindh,Black,Local,1800,SUV,28,21,45,42,Toyota
2020,0.64,37000,Petrol,Automatic,Un-Registered,White,Imported,1000,Crossover,23,13,45,45,Toyota
2020,0.52,34000,Petrol,Automatic,Sindh,Silver,Imported,1000,Crossover,18,10,45,24,Toyota
2012,0.36,175000,Petrol,Automatic,Islamabad,Silver,Local,1600,Sedan,14,9,17,8,Toyota
2007,0.22,108000,Petrol,Manual,Sindh,Blue,Local,1300,Sedan,14,0,9,8,Toyota
2016,0.5,89000,Petrol,Automatic,Islamabad,Silver,Local,1800,Sedan,18,21,40,35,Honda
2018,0.36,178000,Petrol,Manual,Islamabad,White,Local,1500,Sedan,14,9,17,13,Honda
2004,0.4,100000,Petrol,Automatic,Sindh,other,Imported,4400,Sedan,24,23,32,50,BMW
2015,0.4,102123,Hybrid,Automatic,Islamabad,Black,Imported,1500,Crossover,28,13,45,38,Honda
2010,0.25,101000,Petrol,Manual,Punjab,Black,Local,1300,Sedan,10,0,24,13,Honda
2018,0.35,60000,Petrol,Manual,Sindh,White,Local,1300,Sedan,10,3,17,13,Honda
1998,0.14,90000,Petrol,Automatic,Sindh,other,Local,1600,Sedan,32,16,11,16,Honda
2021,0.63,81000,Petrol,Automatic,Punjab,Black,Local,1800,Sedan,29,21,44,30,Toyota
2017,0.53,80000,Petrol,Automatic,Sindh,other,Local,1800,Sedan,24,17,40,30,Toyota
2021,0.61,47000,Petrol,Automatic,Sindh,Silver,Local,1800,Sedan,0,14,27,19,Honda
2016,3.55,85000,Petrol,Automatic,Punjab,Black,Imported,4600,SUV,24,28,62,60,Toyota
2004,0.14,161704,Petrol,Manual,Punjab,White,Local,1300,Sedan,14,0,3,8,Honda
2024,1.3,32323,Hybrid,Automatic,Punjab,other,Local,1600,SUV,43,23,62,43,Hyundai
2023,0.91,14442,Petrol,Automatic,Islamabad,White,Local,3500,Compact SUV,28,23,45,42,KIA
2018,2.18,55000,Petrol,Automatic,other,White,Imported,2700,SUV,18,13,44,30,Toyota
2014,0.48,142000,Hybrid,Automatic,Islamabad,White,Imported,1500,Sedan,14,9,34,38,Toyota
2024,0.85,30356,Hybrid,Automatic,Islamabad,White,Local,1800,SUV,28,21,49,42,Toyota
2021,0.47,78000,Petrol,Automatic,Islamabad,White,Local,1500,Sedan,18,13,40,24,Toyota
2016,1.35,42000,Petrol,Automatic,Islamabad,Grey,Imported,1800,Sedan,18,13,45,42,Audi
2006,0.12,208000,Petrol,Manual,Sindh,other,Local,1300,Sedan,14,9,23,13,Suzuki
2010,0.21,165423,Petrol,Automatic,Punjab,Silver,Imported,660,Mini Van,10,6,27,24,Suzuki
2021,0.3,57801,Petrol,Automatic,Sindh,other,Local,1500,Sedan,18,21,43,24,Changan
2023,0.57,7500,Petrol,Automatic,Islamabad,White,Local,1500,MPV,18,13,33,29,Honda
2011,0.06,201234,Petrol,Manual,Punjab,Black,Local,800,Mini Van,7,0,0,0,Suzuki
2018,0.39,121000,Petrol,Automatic,Punjab,other,Local,1300,Sedan,10,3,17,13,Honda
2017,0.53,89000,Petrol,Automatic,Punjab,White,Local,1800,Sedan,18,21,40,35,Honda
2012,0.34,225000,Petrol,Manual,Islamabad,Silver,Local,1800,Sedan,14,17,27,13,Honda
2019,0.34,115000,Petrol,Manual,Sindh,White,Local,1300,Sedan,10,3,17,13,Honda
2021,0.65,119000,Petrol,Automatic,Islamabad,Black,Local,1800,Sedan,18,28,44,35,Honda
2020,0.58,100100,Petrol,Automatic,Sindh,Black,Local,1500,Sedan,24,21,44,35,Honda
1996,0.11,150000,Petrol,Automatic,Sindh,other,Local,1500,Sedan,14,13,3,4,Honda
2005,0.45,1,Petrol,Automatic,Islamabad,Black,Imported,2500,Sedan,18,9,27,23,Toyota
2021,0.61,14700,Petrol,Automatic,Punjab,Silver,Local,1598,Sedan,32,13,49,13,Toyota
2021,0.68,64000,Petrol,Automatic,Sindh,Blue,Local,2000,Crossover,28,23,38,42,KIA
2023,0.75,23165,Petrol,Automatic,Punjab,Black,Local,2000,SUV,18,23,40,42,Hyundai
2022,0.66,12133,Petrol,Automatic,Sindh,Black,Local,1598,Sedan,24,18,49,24,Toyota
2016,0.36,129000,Petrol,Manual,Islamabad,Black,Local,1300,Sedan,10,3,17,13,Honda
2012,0.3,93000,Petrol,Automatic,Sindh,White,Local,1800,Sedan,14,17,27,13,Honda
2022,0.68,113900,Petrol,Automatic,Punjab,White,Local,1500,Sedan,23,10,40,35,Honda
2023,0.78,36000,Petrol,Automatic,Punjab,White,Local,2000,SUV,18,23,40,42,Hyundai
2015,1.75,133380,Hybrid,Automatic,Punjab,White,Imported,3000,SUV,28,13,49,50,Porsche
2021,0.57,14000,Petrol,Automatic,Sindh,Blue,Local,1800,Sedan,23,4,40,35,Honda
2012,0.36,159562,Petrol,Automatic,Islamabad,White,Local,1800,Sedan,14,17,27,24,Honda
2020,0.44,50000,Petrol,Automatic,Punjab,Black,Local,1500,Sedan,14,9,17,13,Honda
2020,0.68,35200,Petrol,Automatic,Un-Registered,White,Imported,1000,Crossover,23,13,45,45,Toyota
2019,0.54,163000,Petrol,Automatic,Sindh,other,Local,1800,Sedan,18,21,40,35,Honda
2018,1.59,79000,Petrol,Automatic,Islamabad,White,Imported,1600,Sedan,24,21,50,50,Mercedes-Benz
1988,0.1,528863,Petrol,Manual,Punjab,White,Imported,1300,Sedan,7,6,3,8,Toyota
2022,0.65,65000,Petrol,Automatic,Punjab,other,Imported,1500,Crossover,34,30,62,50,MG
2015,0.37,83000,Petrol,Automatic,Islamabad,White,Local,1500,Sedan,7,9,17,4,Honda
2019,0.27,60000,Petrol,Automatic,Punjab,Blue,Imported,660,Hatchback,10,0,40,18,Daihatsu
2014,0.3,172800,Petrol,Manual,Punjab,White,Local,1800,Sedan,14,3,27,13,Honda
2010,0.22,191325,Petrol,Manual,Sindh,Blue,Local,1300,Sedan,10,9,17,13,Honda
2015,0.51,33000,Hybrid,Automatic,Un-Registered,Blue,Imported,1500,Station Wagon,28,9,39,40,Toyota
2021,0.67,78000,Petrol,Automatic,Punjab,White,Local,1800,Sedan,18,28,44,35,Honda
2014,0.37,222000,Petrol,Automatic,other,Black,Local,1800,Sedan,14,17,27,24,Honda
2014,0.64,48000,Petrol,Automatic,Sindh,Grey,Imported,1800,Sedan,7,6,27,19,Audi
2018,0.44,113000,Petrol,Automatic,Punjab,White,Local,1300,Sedan,14,0,17,13,Toyota
2008,0.25,250000,Petrol,Automatic,Sindh,Grey,Local,1300,Sedan,14,0,3,8,Honda
2016,0.32,83242,Petrol,Manual,Punjab,Black,Local,1500,Sedan,14,9,17,13,Honda
2014,0.34,69000,Petrol,Automatic,Punjab,White,Local,1300,Sedan,10,3,17,13,Honda
2011,0.27,96000,Petrol,Manual,Punjab,Silver,Local,1800,Sedan,14,0,27,8,Honda
2021,0.51,89722,Petrol,Manual,Islamabad,White,Local,1600,Sedan,18,0,33,13,Toyota
2025,0.99,4500,Petrol,Automatic,Islamabad,Black,Local,1500,SUV,34,23,62,35,Haval
2013,0.65,289452,Hybrid,Automatic,Islamabad,Black,Imported,2500,Sedan,18,13,50,45,Toyota
2024,0.73,16000,Petrol,Automatic,Punjab,other,Local,1500,Crossover,34,30,62,50,MG
2015,0.35,77000,Petrol,Automatic,Sindh,Grey,Local,1300,Sedan,14,0,17,13,Toyota
2021,1.46,79988,Diesel,Automatic,Punjab,White,Local,2800,SUV,7,6,27,19,Toyota
2018,0.55,101370,Hybrid,Automatic,Islamabad,Silver,Imported,1500,MPV,18,7,40,35,Toyota
2018,0.55,80000,Petrol,Automatic,Islamabad,White,Local,1800,Sedan,18,21,40,35,Honda
2021,0.61,78000,Petrol,Automatic,Punjab,Black,Local,1800,Sedan,18,21,40,35,Honda
2015,0.38,90000,Petrol,Automatic,Sindh,Black,Local,1800,Sedan,18,24,37,24,Honda
2026,1.08,20,PHEV,Automatic,Un-Registered,White,Local,1500,SUV,37,30,62,60,Jaecoo
2017,0.62,100000,Hybrid,Automatic,Sindh,White,Imported,1800,Crossover,0,6,27,19,Toyota
2014,0.33,125000,Petrol,Automatic,Islamabad,White,Local,1800,Sedan,18,3,34,13,Honda
2011,0.27,107000,Petrol,Manual,Punjab,Black,Local,1300,Sedan,10,0,23,8,Toyota
2024,0.89,7800,Petrol,Automatic,Punjab,White,Local,2000,SUV,28,23,45,42,Hyundai
2021,0.64,85000,Petrol,Automatic,Islamabad,White,Local,1800,Sedan,23,4,40,35,Honda
2018,0.59,80000,Hybrid,Automatic,Un-Registered,White,Imported,2000,Van,28,9,62,35,Nissan
2021,0.65,52000,Petrol,Automatic,Punjab,White,Local,1800,Sedan,18,21,40,35,Honda
2024,0.92,49000,Petrol,Automatic,Islamabad,Black,Local,1500,Sedan,29,21,44,35,Honda
2006,0.3,190000,Petrol,Automatic,Islamabad,Silver,Imported,1800,Sedan,10,3,21,13,Toyota
2013,0.3,145000,Petrol,Automatic,Punjab,Silver,Imported,1800,Sedan,18,9,34,18,Honda
2013,0.27,150000,Petrol,Manual,Punjab,other,Local,1300,Sedan,7,0,6,4,Toyota
2009,0.26,200000,Petrol,Manual,Punjab,Black,Local,1300,Sedan,14,0,23,8,Toyota
2015,0.4,110000,Petrol,Automatic,Punjab,White,Local,1800,Sedan,18,17,33,24,Honda
2010,0.27,92000,Petrol,Automatic,Islamabad,Black,Local,1800,Sedan,14,17,27,13,Honda
2019,0.6,76000,Petrol,Automatic,Islamabad,White,Imported,1000,Crossover,0,6,27,19,Toyota
2025,0.97,23000,Petrol,Automatic,Islamabad,Grey,Local,1500,Sedan,29,21,44,35,Honda
2024,2.07,4000,Diesel,Automatic,Punjab,Black,Local,2800,SUV,34,13,45,50,Toyota
2024,1.15,12803,Hybrid,Automatic,Sindh,Black,Local,1500,SUV,37,23,62,35,Haval
2011,0.18,49852,Petrol,Automatic,Islamabad,White,Imported,660,Station Wagon,10,0,27,18,Daihatsu
2010,0.28,108818,Petrol,Automatic,Sindh,Black,Imported,1500,SUV,0,6,27,8,Nissan
2020,0.64,40000,Petrol,Automatic,Un-Registered,White,Imported,1000,Crossover,23,13,45,45,Toyota
2024,1.1,23000,Hybrid,Automatic,Punjab,White,Local,1500,SUV,37,23,62,35,Haval
2024,0.8,17067,Petrol,Automatic,Punjab,White,Local,2000,Crossover,28,23,38,35,KIA
2025,0.93,18000,Petrol,Automatic,Islamabad,White,Local,1500,SUV,28,30,62,35,Haval
2005,0.2,195777,Petrol,Automatic,Punjab,White,Imported,1000,Sedan,14,0,21,13,Toyota
2023,0.64,75532,Petrol,Automatic,Islamabad,Black,Local,1500,Crossover,18,13,44,35,Honda
2018,0.59,65000,Petrol,Automatic,Islamabad,White,Local,1800,Sedan,24,17,40,30,Toyota
2022,0.82,33966,Petrol,Automatic,Islamabad,Black,Local,1500,Sedan,23,18,44,35,Honda
2012,0.36,175000,Hybrid,Automatic,Sindh,Blue,Imported,1500,Hatchback,18,16,40,24,Toyota
1987,0.21,250000,Diesel,Manual,Punjab,other,Imported,2500,SUV,7,9,3,8,Mitsubishi
2007,0.28,236865,Petrol,Manual,Punjab,White,Local,1300,Sedan,10,0,3,4,Toyota
2018,0.34,120000,Petrol,Manual,Islamabad,other,Local,1300,Sedan,10,3,17,13,Honda
2009,1.6,112000,Petrol,Automatic,Islamabad,White,Imported,2700,SUV,18,13,44,30,Toyota
2021,0.46,65000,Petrol,Automatic,Punjab,White,Local,1500,Sedan,18,13,40,24,Toyota
2016,0.41,110000,Hybrid,Automatic,Punjab,Black,Imported,1500,Hatchback,28,9,53,30,Toyota
2020,0.54,56200,Petrol,Automatic,Sindh,Black,Imported,1000,Crossover,28,13,45,30,Daihatsu
2014,0.52,129000,Hybrid,Automatic,Islamabad,White,Imported,1800,Sedan,18,13,45,30,Toyota
2018,0.29,93000,Petrol,Automatic,Punjab,Black,Imported,660,Hatchback,24,6,34,30,Honda
2016,3.3,110000,Petrol,Automatic,Islamabad,Black,Imported,4600,SUV,24,21,62,42,Toyota
2021,0.41,40500,Petrol,Automatic,Punjab,Black,Local,1300,Sedan,10,11,39,13,Toyota
2012,0.26,90000,Petrol,Manual,Punjab,White,Local,1300,Sedan,7,0,6,4,Toyota
2014,0.46,222000,Hybrid,Automatic,Islamabad,Silver,Imported,1800,Sedan,18,9,40,30,Toyota
2020,0.25,70232,Petrol,Manual,Punjab,Grey,Local,1300,Hatchback,10,9,27,20,FAW
2021,0.72,18035,Petrol,Automatic,Islamabad,Black,Local,1800,Sedan,18,21,40,35,Honda
2022,0.29,35702,Petrol,Automatic,Islamabad,Grey,Local,1299,Sedan,18,10,50,13,Proton
2024,0.66,11575,Petrol,Automatic,Punjab,other,Local,1600,Sedan,18,21,33,18,Hyundai
2023,0.68,48576,Petrol,Automatic,Islamabad,Black,Local,1500,Crossover,34,23,62,50,MG
2021,1.63,24000,Diesel,Automatic,Islamabad,Black,Local,2800,SUV,34,13,45,42,Toyota
2023,0.68,88160,Petrol,Automatic,Islamabad,White,Local,1500,Crossover,18,10,34,35,Honda
2016,0.57,93787,Hybrid,Automatic,Punjab,White,Imported,1500,Crossover,34,9,50,38,Honda
2025,0.25,1991,Petrol,Manual,Islamabad,White,Local,660,Micro Van,7,0,24,2,Suzuki
2021,0.65,25000,Petrol,Automatic,Punjab,other,Local,1500,Crossover,34,30,62,50,MG
2015,0.35,84000,Petrol,Automatic,Sindh,Silver,Local,1600,Sedan,18,6,33,13,Toyota
2011,0.15,60000,Petrol,Manual,Sindh,White,Local,800,Micro Van,7,0,0,0,Suzuki
2016,0.48,110000,Hybrid,Automatic,Islamabad,Black,Imported,1500,Crossover,14,13,45,30,Honda
2015,0.85,128000,Petrol,Automatic,Punjab,White,Imported,3500,Crossover,11,13,43,37,Lexus
2021,0.43,136000,Petrol,Automatic,Punjab,White,Local,1300,Sedan,10,11,39,13,Toyota
2022,0.81,70000,Petrol,Automatic,Islamabad,Black,Local,2000,Sedan,34,20,45,42,Hyundai
2017,0.4,125000,Petrol,Manual,Punjab,Black,Local,1300,Sedan,10,0,24,8,Toyota
2011,0.34,136000,Petrol,Manual,Islamabad,White,Local,1300,Sedan,10,0,23,8,Toyota
2012,0.28,130000,Petrol,Automatic,Islamabad,Black,Local,1800,Sedan,14,17,27,13,Honda
2018,0.41,120000,Petrol,Automatic,Punjab,White,Local,1500,Sedan,14,9,17,13,Honda
2004,0.14,280000,Petrol,Manual,Punjab,White,Imported,1300,Sedan,10,0,3,8,Suzuki
2021,0.46,61722,Petrol,Automatic,Islamabad,other,Local,1500,Sedan,18,13,40,24,Toyota
2022,0.54,28217,Petrol,Automatic,Islamabad,other,Local,1400,Crossover,28,21,50,30,KIA
2019,0.58,67000,Petrol,Automatic,Islamabad,White,Local,1800,Sedan,18,21,40,35,Honda
2012,0.15,132994,Petrol,Automatic,Punjab,White,Imported,660,Mini Van,10,0,28,4,Daihatsu
2022,1.12,56000,Petrol,Automatic,Sindh,White,Local,3500,MPV,34,21,53,50,KIA
2021,0.6,45424,Petrol,Automatic,Islamabad,other,Local,1500,Crossover,34,30,62,50,MG
2005,0.16,340341,Petrol,Manual,Sindh,Black,Local,1300,Sedan,14,0,3,8,Honda
2016,0.44,115000,Petrol,Automatic,Islamabad,Black,Local,1800,Sedan,18,17,37,24,Honda
2022,0.57,34000,Petrol,Automatic,Sindh,Black,Imported,1500,SUV,18,13,62,45,Proton
2022,0.69,88000,Petrol,Automatic,Islamabad,White,Local,2000,Crossover,28,23,38,35,KIA
2021,0.72,25650,Petrol,Automatic,Islamabad,Black,Local,2000,Crossover,28,23,38,35,KIA
2016,0.45,140191,Petrol,Automatic,Sindh,White,Local,1800,Sedan,18,9,40,19,Toyota
2014,0.39,150000,Petrol,Automatic,Islamabad,Silver,Local,1800,Sedan,14,17,27,24,Honda
2022,0.66,36000,Petrol,Automatic,Islamabad,Silver,Imported,1500,Crossover,34,30,62,50,MG
2010,0.28,200000,Petrol,Manual,Islamabad,Silver,Local,1300,Sedan,0,0,17,8,Toyota
2022,0.72,55000,Petrol,Automatic,Sindh,Black,Local,2000,Crossover,28,23,38,42,KIA
2010,0.09,10000,Petrol,Manual,Sindh,White,Local,800,Mini Van,7,0,0,0,Suzuki
2010,1.74,76000,Petrol,Automatic,Islamabad,White,Imported,2700,SUV,11,13,39,44,Toyota
1996,0.13,250000,Petrol,Manual,Sindh,Blue,Local,1500,Sedan,7,0,3,8,Honda
2002,0.25,120000,Petrol,Automatic,Punjab,Silver,Local,1600,Sedan,10,17,17,6,Honda
2022,1.75,59500,Diesel,Automatic,Islamabad,White,Local,2800,SUV,7,6,27,19,Toyota
2012,0.33,75000,Petrol,Manual,Islamabad,Silver,Local,1300,Sedan,10,3,17,13,Honda
2009,0.24,167000,Petrol,Manual,Punjab,Black,Local,1300,Sedan,10,3,17,13,Honda
2009,0.28,166553,Petrol,Manual,Islamabad,Silver,Local,1800,Sedan,14,17,27,13,Honda
2017,0.37,160000,Petrol,Manual,Punjab,White,Local,1300,Sedan,14,0,27,13,Toyota
1996,0.45,300000,Diesel,Automatic,other,other,Imported,3000,SUV,14,9,27,13,Toyota
2011,0.32,129000,Petrol,Automatic,Punjab,other,Local,1800,Sedan,14,17,27,13,Honda
2021,0.59,27800,Petrol,Automatic,Sindh,White,Imported,1000,Crossover,7,6,27,19,Daihatsu
2024,0.76,15000,Petrol,Automatic,Sindh,other,Local,1800,Sedan,29,28,44,30,Toyota
2021,0.63,48000,Petrol,Automatic,Islamabad,other,Local,1500,Crossover,34,30,62,50,MG
2022,0.59,41000,Petrol,Automatic,Punjab,White,Local,1600,Sedan,18,6,33,13,Toyota
2022,1.74,51000,Diesel,Automatic,Islamabad,White,Local,2800,SUV,34,13,45,35,Toyota
2020,7.5,35000,Petrol,Automatic,Islamabad,Black,Imported,5700,SUV,7,6,27,19,Lexus
2006,0.17,123000,Petrol,Automatic,Sindh,White,Local,1500,Sedan,10,0,9,8,Honda
2015,0.44,123000,Hybrid,Automatic,Islamabad,White,Imported,1500,Hatchback,28,20,53,30,Toyota
2018,0.54,94550,Petrol,Automatic,Islamabad,other,Local,1800,Sedan,0,14,27,19,Honda
2020,0.62,40000,Petrol,Automatic,Punjab,Silver,Local,1800,Sedan,18,21,40,35,Honda
2021,0.65,55500,Petrol,Automatic,Islamabad,White,Local,1000,Crossover,23,13,45,45,Toyota
2008,0.23,200000,Petrol,Automatic,Islamabad,Silver,Imported,660,Hatchback,14,9,27,18,Honda
2017,0.33,81000,Petrol,Manual,Punjab,White,Local,1300,Sedan,10,3,17,13,Honda
2006,0.3,131000,Petrol,Automatic,Sindh,Grey,Imported,1500,Station Wagon,14,20,27,18,Honda
2021,0.61,40000,Petrol,Automatic,Islamabad,Black,Local,1500,Crossover,34,30,62,50,MG
2014,0.35,1120,Petrol,Automatic,Punjab,other,Local,1600,Sedan,23,16,33,13,Toyota
2017,0.34,196000,Petrol,Manual,Sindh,Silver,Local,1300,Sedan,14,0,27,13,Toyota
2000,0.18,185000,Petrol,Manual,Sindh,other,Local,1600,Sedan,10,17,3,6,Honda
2017,0.36,130000,Petrol,Manual,other,White,Local,1300,Sedan,10,0,6,8,Toyota
2025,0.9,9000,Hybrid,Automatic,Islamabad,Black,Local,1800,SUV,28,21,45,42,Toyota
2005,0.19,100000,Petrol,Manual,Punjab,Blue,Local,1300,Sedan,14,0,3,8,Honda
2002,0.14,160000,Petrol,Manual,Punjab,Silver,Local,1500,Sedan,10,0,9,14,Honda
2025,0.28,42000,Petrol,Automatic,Punjab,White,Imported,660,Micro Van,10,0,27,9,Suzuki
1995,0.12,100000,Petrol,Automatic,Islamabad,other,Imported,660,SUV,10,0,21,9,Mitsubishi
2010,0.27,116000,Petrol,Manual,Punjab,other,Local,1300,Sedan,14,3,23,8,Toyota
2021,0.87,47500,Petrol,Automatic,Islamabad,White,Local,2500,Sedan,43,20,45,42,Hyundai
2018,0.49,91321,Hybrid,Automatic,Sindh,Black,Imported,1500,Sedan,28,20,40,35,Honda
2023,0.76,42500,Petrol,Automatic,Islamabad,Silver,Imported,1600,Crossover,28,30,62,42,Chery
2020,0.6,91000,Petrol,Automatic,Un-Registered,White,Imported,1000,Crossover,23,13,45,45,Toyota
2019,4.65,35800,Petrol,Automatic,Un-Registered,Black,Imported,4600,SUV,24,21,62,42,Toyota
2016,0.33,104000,Petrol,Manual,Islamabad,White,Local,1300,Sedan,10,3,17,13,Honda
2022,0.92,45500,Petrol,Automatic,Punjab,White,Local,2500,Sedan,43,27,45,42,Hyundai
2012,0.33,99091,Petrol,Automatic,Islamabad,Black,Local,1800,Sedan,14,17,27,24,Honda
2022,0.72,50569,Petrol,Automatic,Punjab,White,Local,2000,Crossover,28,23,38,35,KIA
2015,0.39,144652,Petrol,Manual,Islamabad,White,Local,1800,Sedan,18,9,40,19,Toyota
2006,0.17,1988,Petrol,Manual,Sindh,White,Local,1300,Sedan,10,0,3,4,Toyota
2017,0.37,90000,Petrol,Manual,Punjab,Black,Local,1300,Sedan,0,0,6,8,Toyota
2016,0.52,165000,Hybrid,Automatic,Islamabad,White,Imported,1500,Crossover,28,13,45,38,Honda
2017,0.37,169200,Petrol,Manual,Islamabad,White,Local,1500,Sedan,14,9,17,13,Honda
2026,0.51,200,Petrol,Automatic,Un-Registered,White,Local,1300,Sedan,10,11,39,13,Toyota
2009,0.23,199999,Petrol,Manual,Punjab,Black,Local,1300,Sedan,10,0,23,8,Toyota
2014,0.26,90000,Petrol,Automatic,Punjab,other,Imported,660,Hatchback,18,6,34,30,Honda
2021,0.63,69000,Petrol,Automatic,Punjab,Black,Local,1800,Sedan,29,21,44,30,Toyota
2015,0.46,94800,Petrol,Automatic,Punjab,White,Local,1800,Sedan,24,17,40,30,Toyota
2021,0.72,40000,Petrol,Automatic,Sindh,Black,Local,2000,Crossover,28,23,38,42,KIA
2021,0.63,48000,Petrol,Automatic,Islamabad,White,Local,1800,Sedan,18,21,40,35,Honda
2020,0.59,61000,Petrol,Automatic,Un-Registered,White,Imported,1000,Crossover,23,13,45,45,Toyota
2006,0.48,135000,Petrol,Automatic,Islamabad,White,Imported,3000,Sedan,18,9,32,35,Toyota
2021,0.42,45789,Petrol,Automatic,Sindh,Grey,Local,1300,Sedan,28,13,39,13,Toyota
2017,0.45,135000,Petrol,Automatic,Punjab,other,Local,1800,Sedan,18,21,40,35,Honda
2013,0.37,142000,Petrol,Automatic,Punjab,White,Local,1800,Sedan,14,17,27,24,Honda
2008,0.23,96055,Petrol,Automatic,Sindh,Blue,Local,1000,Sedan,14,0,27,13,Toyota
2021,0.63,140000,Petrol,Automatic,Islamabad,White,Local,1800,Sedan,18,21,40,35,Honda
2025,0.57,7000,Petrol,Automatic,Sindh,Silver,Local,1400,Crossover,28,21,50,30,KIA
2002,0.1,300000,Petrol,Manual,Islamabad,other,Local,1300,Sedan,10,0,3,8,Suzuki
2008,0.27,135000,Petrol,Automatic,Punjab,Black,Local,1800,Sedan,18,24,27,13,Honda
2023,0.62,82536,Petrol,Automatic,Islamabad,Black,Local,1500,Crossover,18,10,34,35,Honda
2013,2.59,116000,Petrol,Automatic,Punjab,White,Imported,4600,SUV,28,21,45,35,Toyota
2025,0.5,100,Petrol,Automatic,Un-Registered,White,Local,1300,Sedan,10,11,39,13,Toyota
2021,0.66,95000,Petrol,Automatic,Islamabad,White,Local,2000,Crossover,7,14,27,19,KIA
1995,0.1,55000,Petrol,Manual,Punjab,Black,Local,1500,Sedan,11,9,3,8,Honda
2018,0.29,45500,Petrol,Automatic,Punjab,Silver,Imported,660,Hatchback,10,10,40,13,Honda
2016,0.43,133000,Petrol,Automatic,Punjab,other,Local,1800,Sedan,24,17,40,19,Toyota
2018,0.46,40000,Petrol,Automatic,Punjab,White,Local,1500,MPV,23,9,27,18,Honda
2016,0.24,92000,Petrol,Automatic,Punjab,White,Imported,660,Micro Van,14,9,37,24,Suzuki
2013,0.34,177000,Petrol,Manual,Islamabad,Black,Local,1600,Sedan,14,17,33,13,Toyota
2015,0.41,192668,Petrol,Automatic,Islamabad,White,Local,1800,Sedan,14,17,27,24,Honda
2014,0.29,80465,Petrol,Manual,Punjab,Black,Local,1300,Sedan,7,0,6,4,Toyota
2007,0.21,362000,Petrol,Manual,Punjab,Blue,Local,1300,Sedan,14,0,9,8,Toyota
2007,0.39,125000,Petrol,Automatic,Punjab,Silver,Imported,1500,Sedan,18,3,34,29,Toyota
2021,0.56,45000,Petrol,Automatic,other,White,Imported,1000,Crossover,18,10,45,24,Toyota
2016,0.39,200000,Petrol,Manual,Islamabad,White,Local,1300,Sedan,14,0,27,13,Toyota
2025,0.87,16000,Hybrid,Automatic,Sindh,White,Local,1800,SUV,28,30,49,42,Toyota
2021,0.38,21776,Petrol,Automatic,other,other,Imported,659,Hatchback,23,13,58,26,Mitsubishi
2021,0.65,76000,Petrol,Automatic,Islamabad,Black,Local,1800,Sedan,18,21,40,35,Honda
2024,1.08,30000,Hybrid,Automatic,Islamabad,Black,Local,1500,SUV,37,23,62,35,Haval
2010,1.4,126000,Petrol,Automatic,Punjab,Silver,Imported,2700,SUV,7,14,27,19,Toyota
2003,0.22,125000,Petrol,Manual,Punjab,Black,Local,1600,Sedan,14,3,21,8,Toyota
2025,0.93,18711,Hybrid,Automatic,Punjab,Black,Local,1500,Crossover,28,23,62,43,MG
2017,0.5,140652,Hybrid,Automatic,Islamabad,White,Imported,1500,Hatchback,18,3,40,24,Toyota
2016,0.41,150781,Petrol,Automatic,Punjab,Black,Local,1800,Sedan,14,17,27,24,Honda
2021,0.68,29870,Hybrid,Automatic,Islamabad,White,Imported,1500,Hatchback,18,13,45,24,Toyota
2005,0.18,396497,Petrol,Manual,other,Silver,Local,1500,Sedan,14,0,9,8,Honda
2012,0.34,173000,Petrol,Automatic,Punjab,White,Local,1800,Sedan,14,17,27,24,Honda
2025,0.82,8995,Petrol,Automatic,Sindh,Black,Local,1500,Compact SUV,23,23,62,42,Changan
2022,0.51,50000,Petrol,Automatic,Punjab,White,Local,1200,Crossover,28,20,50,30,Peugeot
2014,0.38,150000,Hybrid,Automatic,Sindh,Silver,Imported,1500,Hatchback,18,3,40,24,Toyota
2017,0.7,280,Petrol,Automatic,Islamabad,White,Imported,1500,Sedan,18,3,34,35,Toyota
