year,price,Km_travelled,fuel_type,transmission,city,color,assembly,engine,body_type,interior_scores,exterior_scores,safety_scores,comfort_scores,company
2016,0.55,61000,Hybrid,Automatic,Islamabad,White,Imported,1500,Sedan,14,9,34,38,Toyota
2016,0.48,125000,Petrol,Automatic,Punjab,White,Local,1800,Sedan,18,28,40,35,Honda
2013,0.33,160000,Petrol,Automatic,Islamabad,Black,Local,1800,Sedan,18,16,33,13,Honda
2007,0.21,120000,Petrol,Manual,Sindh,Black,Imported,1800,Sedan,14,17,27,13,Honda
2026,0.97,10,Petrol,Automatic,Un-Registered,Black,Local,1500,SUV,34,23,62,35,Haval
2021,0.77,42000,Petrol,Automatic,Islamabad,White,Local,1500,Sedan,24,21,44,35,Honda
2016,0.51,160000,Hybrid,Automatic,Sindh,White,Imported,1500,Crossover,28,13,45,38,Honda
2025,0.88,32500,Hybrid,Automatic,Punjab,White,Local,1800,SUV,28,21,45,42,Toyota
1986,0.07,200000,Petrol,Manual,other,White,Local,1500,Sedan,24,9,27,22,Toyota
2007,0.22,139836,Petrol,Automatic,Islamabad,White,Imported,1500,Sedan,7,0,33,13,Mitsubishi
2019,0.61,60000,Petrol,Automatic,Punjab,White,Local,1800,Sedan,29,28,57,30,Toyota
2005,0.18,157000,Petrol,Manual,Islamabad,Black,Imported,1300,Sedan,19,16,15,13,Mitsubishi
2019,0.29,50000,Petrol,Automatic,Punjab,Blue,Imported,660,Sedan,3,7,45,8,Toyota
2019,0.78,75000,Hybrid,Automatic,Sindh,White,Imported,1500,Sedan,28,21,62,50,Honda
2021,0.36,40000,Petrol,Automatic,Punjab,Grey,Imported,660,Hatchback,18,13,36,30,Honda
2022,0.62,24000,Petrol,Automatic,Sindh,other,Imported,1500,Crossover,34,30,62,50,MG
2021,0.63,68000,Petrol,Automatic,Islamabad,Black,Local,1800,Sedan,18,21,40,35,Honda
2005,0.42,63300,Petrol,Automatic,Un-Registered,White,Imported,2600,Sedan,7,6,27,19,Mercedes-Benz
2015,0.45,81000,Petrol,Automatic,Punjab,other,Local,1800,Sedan,24,17,40,30,Toyota
2022,0.26,23000,Petrol,Automatic,Sindh,White,Local,1300,Sedan,18,10,50,13,Proton
2022,0.4,8000,Petrol,Automatic,Punjab,other,Local,1500,Sedan,18,21,43,24,Changan
2022,0.83,23000,Petrol,Automatic,Islamabad,White,Imported,3500,Compact SUV,28,23,45,42,KIA
2018,0.5,72000,Petrol,Automatic,Sindh,Black,Local,1800,Sedan,24,17,40,30,Toyota
